,_id,ask,bid,expiration,impliedvolatility,lastprice,lasttradedate,openinterest,quotetime,ticker,strike,contractsymbol,type,underlying_price,updatedate,update_datetime,update_hour,updatetime,volume
4,SPY190322C00262000_20190204_08,0.0,0.0,2019-03-22,1e-05,12.2,2019-02-01 15:19:06,,2019-02-04T14:40:00.000Z,SPY,262.0,SPY190322C00262000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
5,SPY190322C00263000_20190204_08,0.0,0.0,2019-03-22,1e-05,10.21,2019-02-01 19:56:32,,2019-02-04T14:40:00.000Z,SPY,263.0,SPY190322C00263000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
6,SPY190322C00264000_20190204_08,0.0,0.0,2019-03-22,1e-05,10.21,2019-02-01 16:05:59,,2019-02-04T14:40:00.000Z,SPY,264.0,SPY190322C00264000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
8,SPY190322C00265000_20190204_08,0.0,0.0,2019-03-22,1e-05,8.97,2019-01-31 18:43:04,0.0,2019-02-04T14:40:00.000Z,SPY,265.0,SPY190322C00265000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,
9,SPY190322C00266000_20190204_08,0.0,0.0,2019-03-22,1e-05,8.05,2019-02-01 20:15:05,,2019-02-04T14:40:00.000Z,SPY,266.0,SPY190322C00266000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,4.0
10,SPY190322C00267000_20190204_08,0.0,0.0,2019-03-22,1e-05,8.29,2019-02-01 15:14:50,0.0,2019-02-04T14:40:00.000Z,SPY,267.0,SPY190322C00267000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,2.0
11,SPY190322C00268000_20190204_08,0.0,0.0,2019-03-22,1e-05,6.88,2019-01-31 15:46:06,0.0,2019-02-04T14:40:00.000Z,SPY,268.0,SPY190322C00268000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,
12,SPY190322C00269000_20190204_08,0.0,0.0,2019-03-22,1e-05,6.52,2019-02-01 15:01:02,0.0,2019-02-04T14:40:00.000Z,SPY,269.0,SPY190322C00269000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,5.0
14,SPY190322C00270000_20190204_08,0.0,0.0,2019-03-22,0.0009865527,5.89,2019-02-01 18:51:44,0.0,2019-02-04T14:40:00.000Z,SPY,270.0,SPY190322C00270000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,10016.0
15,SPY190322C00271000_20190204_08,0.0,0.0,2019-03-22,0.0039162109,5.0,2019-02-01 19:18:56,0.0,2019-02-04T14:40:00.000Z,SPY,271.0,SPY190322C00271000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,51.0
16,SPY190322C00272000_20190204_08,0.0,0.0,2019-03-22,0.0078224219,4.54,2019-02-01 19:28:45,0.0,2019-02-04T14:40:00.000Z,SPY,272.0,SPY190322C00272000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,10.0
17,SPY190322C00272500_20190204_08,0.0,0.0,2019-03-22,0.0078224219,4.24,2019-02-01 19:28:45,,2019-02-04T14:40:00.000Z,SPY,272.5,SPY190322C00272500,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,20.0
19,SPY190322C00275000_20190204_08,0.0,0.0,2019-03-22,0.0156348438,3.45,2019-02-01 16:39:45,0.0,2019-02-04T14:40:00.000Z,SPY,275.0,SPY190322C00275000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1.0
20,SPY190322C00276000_20190204_08,0.0,0.0,2019-03-22,0.0156348438,2.59,2019-02-01 20:16:50,0.0,2019-02-04T14:40:00.000Z,SPY,276.0,SPY190322C00276000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,4.0
21,SPY190322C00277000_20190204_08,0.0,0.0,2019-03-22,0.0156348438,2.29,2019-02-01 20:50:57,0.0,2019-02-04T14:40:00.000Z,SPY,277.0,SPY190322C00277000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,1002.0
22,SPY190322C00278000_20190204_08,0.0,0.0,2019-03-22,0.0156348438,2.35,2019-02-01 15:33:01,0.0,2019-02-04T14:40:00.000Z,SPY,278.0,SPY190322C00278000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,20.0
23,SPY190322C00279000_20190204_08,0.0,0.0,2019-03-22,0.0156348438,1.84,2019-02-01 18:38:48,,2019-02-04T14:40:00.000Z,SPY,279.0,SPY190322C00279000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,3.0
25,SPY190322C00280000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,1.42,2019-02-01 20:48:37,0.0,2019-02-04T14:40:00.000Z,SPY,280.0,SPY190322C00280000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,331.0
26,SPY190322C00282000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,1.01,2019-02-01 19:40:20,,2019-02-04T14:40:00.000Z,SPY,282.0,SPY190322C00282000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,17.0
27,SPY190322C00282500_20190204_08,0.0,0.0,2019-03-22,0.0312596875,1.09,2019-02-01 15:54:06,0.0,2019-02-04T14:40:00.000Z,SPY,282.5,SPY190322C00282500,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,8.0
29,SPY190322C00285000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.71,2019-01-31 21:14:47,0.0,2019-02-04T14:40:00.000Z,SPY,285.0,SPY190322C00285000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,
30,SPY190322C00286000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.46,2019-02-01 20:16:50,,2019-02-04T14:40:00.000Z,SPY,286.0,SPY190322C00286000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,8.0
31,SPY190322C00287000_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.41,2019-02-01 19:09:06,,2019-02-04T14:40:00.000Z,SPY,287.0,SPY190322C00287000,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,3.0
32,SPY190322C00287500_20190204_08,0.0,0.0,2019-03-22,0.0312596875,0.36,2019-02-01 19:09:06,,2019-02-04T14:40:00.000Z,SPY,287.5,SPY190322C00287500,Call,269.78,20190204,2019-02-04 08:40:05,08,08:40:05,3.0
