name,probability,correl,state_0_mean,state_1_mean,state_2_mean,state_0_next_mean,state_1_next_mean,state_2_next_mean,pca_n_components,k_features,features
crabby-maroon-dolphin,0.435812570526012,0.653901739939703,-0.0981990411115418,-0.0322811627354943,0.339227408716794,-0.0332202536337791,0.0908588323540267,0.0933398071416459,14,8,"['return', 'stochrsi_fastk', 'rsi', 'rocr100', 'stddev', 'trange', 'willr', 'roc', 'stochrsi_fastd']"
goopy-cerise-woodpecker,84.1140705431731,0.996015251511281,-0.479118610693153,0.127200462325702,0.175879905455132,-0.122874498871448,0.0693448825532127,0.106599480466418,8,4,"['return', 'cmo', 'rsi', 'stochf_fastd', 'plus_di']"
randy-thistle-badger,0.000931113115612951,0.999962701148489,-1.02167135114757,0.0878417968147195,0.422646448607961,-0.0491599087305344,0.0551269461184237,0.0840534118688377,13,10,"['return', 'willr', '1_day_change', 'intraday_change', 'minus_dm', 'linearreg_angle', 'macdfix', 'bop', 'stochf_fastk', 'natr', 'macd_hist']"
frumpy-violet-hummingbird,0.00633624823288163,0.87761723082599,-0.0935956035458955,-0.00328652818780768,0.125618144399816,0.00295446171897096,0.050494770351871,0.0639787253827227,7,8,"['return', 'natr', 'willr', 'linearreg_angle', 'stochf_fastd', 'adosc', 'ht_phasor_quadrature', '1_day_change', 'minus_di']"
messy-sapphire-javanese,0.939997119194025,0.99003976216953,-0.0445293290459166,0.0965901066066979,0.0996357665781312,0.00945362980041255,0.0631213077899418,0.0739799201100146,4,4,"['return', 'adosc', 'bop', 'intraday_change', 'minus_dm']"
grumpy-heliotrope-wallaby,0.46634161515089,0.999398113565158,-0.634398020739963,0.114534839182086,0.351751060569041,-0.105798921469228,0.0676976658253976,0.110427740880443,10,4,"['return', 'minus_di', 'intraday_change', 'stochrsi_fastd', 'rsi']"
sleepy-green-indri,6.0262186939262,0.997626014570425,-0.0655188048348242,-0.0113933215416265,0.334575826154448,0.0396301843309987,0.0409916251672208,0.0844135021794418,12,6,"['return', 'stochrsi_fastd', 'cmo', 'stochrsi_fastk', 'rsi', 'minus_dm', 'stochf_fastk']"
paltry-maroon-dingo,0.201012759916812,0.997424505066852,-0.118270769583385,0.0762768237510068,0.139833267265721,-0.0179601829237148,0.0660186653460303,0.0816813663371211,4,6,"['return', 'dx', 'ppo', 'ht_phasor_inphase', 'ultosc', 'trange', 'cmo']"
flaky-cinnamon-vulture,0.302910086104958,0.999764027031305,-0.0564154556221433,-0.00345847309883042,0.125147534123546,-0.0127090173334441,0.0261718331440272,0.0922698324134901,3,9,"['return', 'volume', 'macdfix', 'stochf_fastk', 'ht_phasor_inphase', 'cmo', 'rsi', 'atr', 'trange', 'stochf_fastd']"
gummy-magenta-blue,0.112274259749494,0.952411736162583,-0.0855280800284442,0.0896673794590874,0.183238969476498,0.00139228978285979,0.0529071545502372,0.129385024525811,5,6,"['return', 'ht_dcperiod', 'stddev', 'ht_leadsine', 'willr', 'cmo', 'natr']"
zippy-razzmatazz-woodlouse,0.610123272092007,0.998352035274826,-0.202763668976425,0.0472895937782306,0.182011186860013,-0.0961398799193682,0.0459743998732379,0.129243210933394,3,11,"['return', 'rocp', 'obv', 'adx', 'bop', 'ht_sine', 'macd_hist', 'bbands_upper', 'volume', 'beta', 'var', 'willr']"
cranky-salmon-indri,0.00292396858689575,0.998922561737056,-0.0746879752360101,-0.00852689143154426,0.124999304091541,0.00821882892133105,0.0228303501619104,0.0800196629987506,8,8,"['return', 'cmo', 'var', 'cci', 'minus_di', 'trange', 'rocp', 'rocr100', 'macdfix_signal']"
slaphappy-cinnabar-liger,0.000383254924865245,0.976688531254925,-0.0351602564638424,0.0254543615673668,0.172245637741317,0.00476738818890181,0.0543407585814228,0.0985304971519379,10,11,"['return', 'macd_hist', 'cmo', 'stochrsi_fastd', 'willr', '1_day_change', 'roc', 'stochf_fastk', 'cci', 'macdfix', 'ht_sine', 'var']"
snappy-scarlet-spoonbill,3.52034731591057,0.991919158613186,-0.244346184903236,0.140753815369282,0.32557588452025,-0.0575851278710875,0.0793797836560896,0.167701145778106,3,3,"['return', 'ppo', '1_day_change', 'willr']"
gummy-heliotrope-woodpecker,30.5545776706947,0.995424132638216,-1.45813386970201,0.064531579362889,0.556342532619195,-0.0143383058662357,0.0477528223959016,0.0779190593348943,11,3,"['return', 'stddev', 'dx', '1_day_change']"
paltry-wisteria-tzu,0.000349611294673031,0.973857929910816,-0.070591946882296,-0.0187060154674257,0.142072822149328,0.00962986177697372,0.0429243499224938,0.0745839420154846,10,14,"['return', 'cmo', 'aroon_up', 'intraday_change', 'mom', 'adx', 'minus_dm', 'ht_sine', 'natr', 'roc', 'rsi', 'rocp', 'minus_di', 'dx', 'beta']"
chewy-gamboge-fox,0.0691301006117732,0.961071877105674,-0.0573168167181181,-0.0452335880437986,0.200062997481806,0.0185017394579957,-0.00356557114499689,0.111422346615955,4,14,"['return', 'dx', 'minus_di', 'stddev', 'ht_phasor_inphase', 'willr', 'obv', 'atr', 'stochrsi_fastd', 'stoch_slowk', 'ad', 'adosc', 'rocr', 'roc', 'stochrsi_fastk']"
