,score,start,length
large_mean_distance,3.5636018448203384,3293,120
small_mean_distance,0.10335639412674157,673,360
large_positive_mean,1.5939046837674953,3388,140
small_positive_mean,-0.006162881873463582,1475,80
large_negative_mean,0.1922829839238697,441,80
small_negative_mean,-2.3504800403885664,3293,120
large_var_distance,7.369738707127134,3293,120
small_var_distance,0.8306509268973539,2833,80
large_var_std,2.6899864931828863,3119,220
small_var_std,0.018022724672071132,874,120
