index,ticker,buy_date,sell_date,buy_price,sell_price,trade_return,spy_return,abnormal_return,name
0,DJI,2019-01-18 00:00:00,2019-01-22 00:00:00,24534.2,24404.5,-0.00528649803131953,-0.00799815427209094,0.00271165624077141,cloudy-puce-vulture
1,DJI,2019-01-23 00:00:00,2019-02-22 00:00:00,24577.2,26031.8,0.059184935631398,0.0573137784639135,0.00187115716748454,cloudy-puce-vulture
2,DJI,2019-02-25 00:00:00,2019-02-26 00:00:00,26126.2,26058.0,-0.00261040641195431,-0.00500889259917969,0.00239848618722538,cloudy-puce-vulture
3,DJI,2019-03-04 00:00:00,2019-03-06 00:00:00,26122.2,25673.5,-0.0171769605929056,-0.0151608351123493,-0.0020161254805563,cloudy-puce-vulture
4,DJI,2019-03-12 00:00:00,2019-03-13 00:00:00,25600.3,25702.9,0.00400776553399784,0.00817906305911564,-0.0041712975251178,cloudy-puce-vulture
5,DJI,2019-05-15 00:00:00,,25648.0,25983.9,0.0130965377417342,0.0215441149980187,-0.00844757725628442,cloudy-puce-vulture
6,QLD,2019-01-14 00:00:00,2019-01-23 00:00:00,71.3,73.75,0.0343618513323984,0.0254670950850886,0.00889475624730984,cloudy-puce-vulture
7,QLD,2019-02-04 00:00:00,2019-02-05 00:00:00,78.47,81.82,0.0426914744488338,0.0110528499754801,0.0316386244733537,cloudy-puce-vulture
8,QLD,2019-02-06 00:00:00,2019-03-15 00:00:00,81.84,88.37,0.0797898338220919,0.0357836545644703,0.0440061792576216,cloudy-puce-vulture
9,QLD,2019-03-18 00:00:00,2019-03-22 00:00:00,88.42,88.75,0.00373218728794389,-0.00814326379130181,0.0118754510792457,cloudy-puce-vulture
10,QLD,2019-03-25 00:00:00,2019-05-07 00:00:00,88.18,96.04,0.0891358584713087,0.0324857215613519,0.0566501369099568,cloudy-puce-vulture
11,QLD,2019-05-09 00:00:00,2019-05-13 00:00:00,93.49,88.12,-0.057439298320676,-0.0153293498363921,-0.0421099484842839,cloudy-puce-vulture
12,QLD,2019-05-14 00:00:00,2019-05-16 00:00:00,89.08,94.4,0.0597215985630895,0.0202539842429039,0.0394676143201855,cloudy-puce-vulture
13,QLD,2019-05-17 00:00:00,2019-06-04 00:00:00,92.54,84.13,-0.0908796196239465,-0.016152559860533,-0.0747270597634135,cloudy-puce-vulture
14,QLD,2019-06-06 00:00:00,2019-06-07 00:00:00,85.64,90.0,0.0509107893507708,0.0153983885407341,0.0355124008100367,cloudy-puce-vulture
15,QLD,2019-06-11 00:00:00,2019-06-26 00:00:00,94.09,94.96,0.00924646614943137,0.00306791242504545,0.00617855372438592,cloudy-puce-vulture
16,QLD,2019-06-27 00:00:00,2019-07-02 00:00:00,95.66,99.3,0.038051432155551,0.017570611679085,0.0204808204764659,cloudy-puce-vulture
17,QLD,2019-07-09 00:00:00,2019-08-01 00:00:00,97.92,99.02,0.0112336601307188,-0.00235704037712647,0.0135907005078453,cloudy-puce-vulture
18,QLD,2019-08-05 00:00:00,2019-08-06 00:00:00,92.1,91.79,-0.00336590662323544,-0.000981216708718868,-0.00238468991451657,cloudy-puce-vulture
19,QLD,2019-08-07 00:00:00,2019-08-08 00:00:00,89.82,96.76,0.0772656423959031,0.0324092151503319,0.0448564272455712,cloudy-puce-vulture
20,QLD,2019-08-09 00:00:00,2019-08-14 00:00:00,95.81,90.89,-0.0513516334411857,-0.0296746144025397,-0.0216770190386459,cloudy-puce-vulture
